participant,condition,timestamp,interval_s
Participant_13,SemiStationary,1635.01,30.5
Participant_13,SemiStationary,1654.85,19.839999999999918
Participant_13,SemiStationary,1670.39,15.540000000000191
Participant_13,SemiStationary,1717.61,47.2199999999998
Participant_13,SemiStationary,1729.84,12.230000000000018
Participant_13,SemiStationary,1751.49,21.65000000000009
Participant_13,SemiStationary,1776.21,24.720000000000027
Participant_13,Stationary,219.47,12.859999999999985
Participant_13,Stationary,242.21,22.74000000000001
Participant_13,Stationary,259.91,17.700000000000017
Participant_13,Stationary,272.87,12.95999999999998
Participant_13,Stationary,283.21,10.339999999999975
Participant_13,Stationary,294.91,11.700000000000045
Participant_13,Stationary,304.01,9.099999999999966
Participant_13,Stationary,318.81,14.800000000000011
Participant_13,Stationary,337.01,18.19999999999999
Participant_13,Stationary,342.56,5.550000000000011
Participant_13,Stationary,357.63,15.069999999999993
Participant_13,Stationary,370.23,12.600000000000023
Participant_13,Stationary,386.41,16.180000000000007
Participant_13,Stationary,400.02,13.609999999999957
Participant_13,Stationary,426.72,26.700000000000045
Participant_13,Stationary,437.04,10.319999999999993
Participant_13,Stationary,458.81,21.769999999999982
Participant_13,Stationary,475.82,17.00999999999999
Participant_13,Stationary,494.68,18.860000000000014
Participant_13,Stationary,513.01,18.329999999999984
Participant_14,Moving,373.59,24.95999999999998
Participant_14,Moving,376.81,3.2200000000000273
Participant_14,Moving,387.78,10.96999999999997
Participant_14,Moving,406.4,18.620000000000005
Participant_14,Moving,417.61,11.210000000000036
Participant_14,Moving,440.27,22.659999999999968
Participant_14,Moving,470.79,30.52000000000004
Participant_14,Moving,498.4,27.609999999999957
Participant_14,Moving,515.29,16.889999999999986
Participant_14,Moving,531.38,16.090000000000032
Participant_14,Moving,554.0,22.620000000000005
Participant_14,Moving,564.07,10.07000000000005
Participant_14,Moving,576.61,12.539999999999964
Participant_14,Moving,589.93,13.319999999999936
Participant_14,Moving,613.32,23.3900000000001
Participant_14,Moving,628.93,15.6099999999999
Participant_14,Moving,644.2,15.270000000000095
Participant_14,Moving,663.45,19.25
Participant_14,Moving,679.72,16.269999999999982
Participant_14,Moving,692.61,12.889999999999986
Participant_14,SemiStationary,522.95,9.700000000000045
Participant_14,SemiStationary,533.8,10.849999999999909
Participant_14,SemiStationary,553.46,19.660000000000082
Participant_14,SemiStationary,576.06,22.59999999999991
Participant_14,SemiStationary,592.81,16.75
Participant_14,SemiStationary,608.64,15.830000000000041
Participant_14,SemiStationary,627.41,18.769999999999982
Participant_14,SemiStationary,694.01,66.60000000000002
Participant_14,SemiStationary,710.29,16.279999999999973
Participant_14,SemiStationary,730.44,20.15000000000009
Participant_14,SemiStationary,744.2,13.759999999999991
Participant_14,SemiStationary,760.6,16.399999999999977
Participant_14,SemiStationary,763.19,2.590000000000032
Participant_14,SemiStationary,773.9,10.709999999999923
Participant_14,SemiStationary,783.31,9.409999999999968
Participant_14,SemiStationary,805.47,22.160000000000082
Participant_14,SemiStationary,821.6,16.129999999999995
Participant_14,SemiStationary,841.3,19.699999999999932
Participant_14,SemiStationary,862.25,20.950000000000045
Participant_14,SemiStationary,873.81,11.559999999999945
Participant_14,Stationary,79.99,16.349999999999994
Participant_14,Stationary,84.61,4.6200000000000045
Participant_14,Stationary,92.08,7.469999999999999
Participant_14,Stationary,109.49,17.409999999999997
Participant_14,Stationary,117.2,7.710000000000008
Participant_14,Stationary,130.41,13.209999999999994
Participant_14,Stationary,134.9,4.490000000000009
Participant_14,Stationary,151.17,16.269999999999982
Participant_14,Stationary,161.13,9.960000000000008
Participant_14,Stationary,175.0,13.870000000000005
Participant_14,Stationary,176.92,1.9199999999999875
Participant_14,Stationary,185.75,8.830000000000013
Participant_14,Stationary,196.61,10.860000000000014
Participant_14,Stationary,202.8,6.189999999999998
Participant_14,Stationary,217.3,14.5
Participant_14,Stationary,229.34,12.039999999999992
Participant_14,Stationary,232.6,3.259999999999991
Participant_14,Stationary,250.68,18.080000000000013
Participant_14,Stationary,266.0,15.319999999999993
Participant_14,Stationary,267.32,1.3199999999999932
Participant_15,Moving,1542.34,15.259999999999991
Participant_15,Moving,1636.61,94.26999999999998
Participant_15,Moving,1650.83,14.220000000000027
Participant_15,Moving,1671.95,21.12000000000012
Participant_15,Moving,1887.41,215.46000000000004
Participant_15,Moving,1906.25,18.839999999999918
Participant_15,Moving,1920.64,14.3900000000001
Participant_15,Moving,2071.01,150.37000000000012
Participant_15,Moving,2084.26,13.25
Participant_15,Moving,2108.56,24.299999999999727
Participant_15,Moving,2293.6,185.03999999999996
Participant_15,Moving,2304.24,10.639999999999873
Participant_15,Moving,2313.84,9.600000000000364
Participant_15,Moving,2432.61,118.76999999999998
Participant_15,Moving,2449.39,16.779999999999745
Participant_15,Moving,2465.19,15.800000000000182
Participant_15,Moving,2556.41,91.2199999999998
Participant_15,Moving,2577.72,21.309999999999945
Participant_15,Moving,2600.02,22.300000000000182
Participant_15,Moving,2684.01,83.99000000000024
Participant_15,SemiStationary,357.7,12.75
Participant_15,SemiStationary,395.21,37.50999999999999
Participant_15,SemiStationary,424.14,28.930000000000007
Participant_15,SemiStationary,435.63,11.490000000000009
Participant_15,SemiStationary,480.41,44.78000000000003
Participant_15,SemiStationary,505.12,24.70999999999998
Participant_15,SemiStationary,520.07,14.950000000000045
Participant_15,SemiStationary,554.2,34.129999999999995
Participant_15,SemiStationary,574.67,20.469999999999914
Participant_15,SemiStationary,587.09,12.420000000000073
Participant_15,SemiStationary,629.0,41.90999999999997
Participant_15,SemiStationary,646.07,17.07000000000005
Participant_15,SemiStationary,657.67,11.599999999999909
Participant_15,SemiStationary,709.4,51.73000000000002
Participant_15,SemiStationary,731.94,22.540000000000077
Participant_15,SemiStationary,748.04,16.09999999999991
Participant_15,SemiStationary,769.41,21.370000000000005
Participant_15,SemiStationary,797.59,28.180000000000064
Participant_15,SemiStationary,820.28,22.68999999999994
Participant_15,SemiStationary,844.41,24.129999999999995
Participant_15,Stationary,197.38,11.210000000000008
Participant_15,Stationary,220.61,23.230000000000018
Participant_15,Stationary,239.28,18.669999999999987
Participant_15,Stationary,263.41,24.130000000000024
Participant_15,Stationary,272.61,9.199999999999989
Participant_15,Stationary,290.25,17.639999999999986
Participant_15,Stationary,311.43,21.180000000000007
Participant_15,Stationary,319.0,7.569999999999993
Participant_15,Stationary,335.68,16.680000000000007
Participant_15,Stationary,355.3,19.620000000000005
Participant_15,Stationary,374.2,18.899999999999977
Participant_15,Stationary,393.35,19.150000000000034
Participant_15,Stationary,412.18,18.829999999999984
Participant_15,Stationary,441.01,28.829999999999984
Participant_15,Stationary,460.5,19.49000000000001
Participant_15,Stationary,472.81,12.310000000000002
Participant_15,Stationary,484.6,11.79000000000002
Participant_15,Stationary,501.81,17.20999999999998
