participant,condition,task,anchor,num_completions,mean_duration_s,median_duration_s,std_duration_s,accuracy
Participant_4,Moving,Key,Torso,7,58.90857142857143,50.01,25.791843948925298,1.0
Participant_4,Moving,Visual,Arm,7,12.81142857142857,9.05,12.238140420520633,1.0
Participant_4,SemiStationary,Controls,Head,9,3.591111111111111,3.52,1.3683333333333336,1.0
Participant_4,SemiStationary,Key,World,7,54.885714285714286,44.06,22.59584243258249,1.0
Participant_4,SemiStationary,Visual,Torso,7,10.245714285714286,9.39,3.7742719260048774,1.0
Participant_4,Stationary,Controls,Head,8,2.91,2.605,1.2066482503198686,1.0
Participant_4,Stationary,Key,World,7,40.16714285714285,40.22,15.49189004424112,1.0
Participant_4,Stationary,Visual,World,7,9.865714285714287,10.73,5.0630388014276475,0.8571428571428571
Participant_5,Moving,Controls,Arm,7,13.535714285714286,12.14,9.198367349957378,1.0
Participant_5,Moving,Key,Head,7,68.51857142857143,55.23,41.10344123005251,1.0
Participant_5,Moving,Visual,Torso,7,10.982857142857142,11.22,3.817366955925311,1.0
Participant_5,SemiStationary,Controls,Arm,7,10.524285714285714,9.29,8.65392754214882,1.0
Participant_5,SemiStationary,Key,World,7,55.48571428571428,50.83,24.432128340324656,0.8571428571428571
Participant_5,SemiStationary,Visual,Torso,7,7.422857142857143,8.53,2.862188639751722,0.8571428571428571
Participant_5,Stationary,Controls,World,7,4.717142857142856,4.8,1.00607677450107,1.0
Participant_5,Stationary,Key,World,7,36.19428571428572,25.84,15.145514030170624,0.8571428571428571
Participant_5,Stationary,Visual,World,7,7.115714285714286,4.88,3.9890719770512084,0.8571428571428571
Participant_6,Moving,Controls,Head,7,4.295714285714285,3.34,1.8825059286569514,1.0
Participant_6,Moving,Key,Head,7,54.35285714285715,50.46,27.44081735559014,0.7142857142857143
Participant_6,Moving,Visual,Head,7,7.477142857142857,6.01,4.290321333286953,1.0
Participant_6,SemiStationary,Controls,Arm,7,8.874285714285714,5.97,10.635211731386853,1.0
Participant_6,SemiStationary,Key,Head,7,25.997142857142855,23.58,10.569277355123377,1.0
Participant_6,SemiStationary,Visual,Head,7,7.307142857142857,5.76,3.5627083063577456,0.8571428571428571
Participant_6,Stationary,Controls,World,7,3.882857142857143,3.01,1.937667965069646,1.0
Participant_6,Stationary,Key,World,7,29.74285714285714,30.39,16.237727380276787,0.7142857142857143
Participant_6,Stationary,Visual,World,7,11.064285714285715,11.53,4.285762698139259,1.0
Participant_7,Moving,Controls,Arm,7,5.571428571428571,4.58,3.3616336731388436,1.0
Participant_7,Moving,Key,Arm,7,62.402857142857144,60.15,19.563661649672266,1.0
Participant_7,Moving,Visual,Head,7,8.645714285714286,9.25,4.108295904398226,1.0
Participant_7,SemiStationary,Controls,Arm,7,4.727142857142858,5.11,1.6706557024684876,1.0
Participant_7,SemiStationary,Key,Arm,7,57.324285714285715,53.08,23.15283341705925,1.0
Participant_7,SemiStationary,Visual,Head,7,9.227142857142857,8.72,3.818558690944854,1.0
Participant_7,Stationary,Controls,World,7,4.741428571428571,3.19,3.3193394351458374,1.0
Participant_7,Stationary,Key,Torso,3,32.306666666666665,36.17,13.38006103623348,1.0
Participant_7,Stationary,Key,World,4,32.410000000000004,30.535000000000004,11.891859961054594,1.0
Participant_7,Stationary,Visual,World,7,7.591428571428572,7.68,2.88891230149243,1.0
Participant_8,Moving,Controls,Arm,7,7.654285714285714,5.92,3.581930844032108,1.0
Participant_8,Moving,Key,Torso,7,36.792857142857144,36.25,15.55494210241632,1.0
Participant_8,Moving,Visual,Arm,7,13.629999999999999,14.65,6.5696981158446945,1.0
Participant_8,SemiStationary,Controls,Arm,7,7.3100000000000005,7.51,1.5056338643021194,1.0
Participant_8,SemiStationary,Key,Head,7,47.83857142857143,42.18,19.534248068944137,1.0
Participant_8,SemiStationary,Visual,Arm,7,9.985714285714286,10.07,4.9248819178495955,1.0
Participant_8,Stationary,Controls,World,7,4.302857142857143,4.06,0.8745039410186457,1.0
